Location,X,Y
ALBERT COLLEGE,53.3854709,-6.2608090999999995
ALBERT COLLEGE,53.3854709,-6.2608090999999995
BEECHILL,54.551865299999996,-5.9180207000000005
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
DARNDALE,53.4009603,-6.1940318
DONAGHMEDE,53.39486120000001,-6.1635775
JOHN PAUL,53.363125600000004,-6.236186099999999
KILMORE,54.4097868,-6.6720416
KILMORE,54.4097868,-6.6720416
MARKIEVICZ,53.341008900000006,-6.3400557
MOUNT OLIVE,53.333059999999996,-6.24889
OSCAR TRAYNOR,53.3944328,-6.2123605
RINGSEND,53.34194399999999,-6.226389
RINGSEND,53.34194399999999,-6.226389
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
WALKINSTOWN,53.32161329999999,-6.330117700000001
FR. COLLINS,53.333059999999996,-6.24889
MILLBROOK,53.3190581,-6.2353914
ALBERT COLLEGE,53.3854709,-6.2608090999999995
ALFIE BYRNE,53.361111,-6.2279928
COULTRY,53.4223167,-6.2630485
DARNDALE,53.4009603,-6.1940318
DONAGHMEDE,53.39486120000001,-6.1635775
FARNHAM,53.385891,-6.3003761
IRISHTOWN,53.53249449999999,-6.226157
JOHN PAUL,53.363125600000004,-6.236186099999999
JOHNSTOWN,53.41222729999999,-6.320695300000001
KILDONAN,53.404096200000005,-6.3193022
LE FANU,53.33581850000001,-6.3541441
LE FANU,53.33581850000001,-6.3541441
LE FANU,53.33581850000001,-6.3541441
LE FANU,53.33581850000001,-6.3541441
LE FANU,53.33581850000001,-6.3541441
LEIN ROAD,53.382990799999995,-6.1889192
MARKIEVICZ,53.341008900000006,-6.3400557
MELLOWES,53.3900796,-6.3118302
MELLOWES,53.3900796,-6.3118302
MILLBROOK,53.3190581,-6.2353914
OSCAR TRAYNOR,53.3944328,-6.2123605
PLUNKETT AVENUE,53.3981308,-6.3120612000000005
POPPINTREE,53.4054312,-6.2871818
POPPINTREE,53.4054312,-6.2871818
RINGSEND,53.34194399999999,-6.226389
RINGSEND,53.34194399999999,-6.226389
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
WALKINSTOWN,53.32161329999999,-6.330117700000001
COULTRY,53.4223167,-6.2630485
NAUL,53.585030200000006,-6.2888697
JOHNSTOWN,53.41222729999999,-6.320695300000001
ALFIE BYRNE,53.361111,-6.2279928
FAIRVIEW,53.36284570000001,-6.2366557
JOHN PAUL,53.363125600000004,-6.236186099999999
MC AULEY,53.333059999999996,-6.24889
ALBERT COLLEGE,53.3854709,-6.2608090999999995
ALBERT COLLEGE,53.3854709,-6.2608090999999995
ALBERT COLLEGE,53.3854709,-6.2608090999999995
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
BUNTING ROAD,53.32018879999999,-6.3260332
BUSHY,53.3021198,-6.2914461
BUSHY,53.3021198,-6.2914461
ELLENFIELD,53.3857502,-6.2404419
FAIRVIEW,53.36284570000001,-6.2366557
FARNHAM,53.385891,-6.3003761
FR. COLLINS,53.333059999999996,-6.24889
JOHN PAUL,53.363125600000004,-6.236186099999999
JOHN PAUL,53.363125600000004,-6.236186099999999
JOHN PAUL,53.363125600000004,-6.236186099999999
JOHNSTOWN,53.41222729999999,-6.320695300000001
KILDONAN,53.404096200000005,-6.3193022
LE FANU,53.33581850000001,-6.3541441
LE FANU,53.33581850000001,-6.3541441
MARKIEVICZ,53.341008900000006,-6.3400557
MARTIN SAVAGE,53.3719591,-6.3322962
OSCAR TRAYNOR,53.3944328,-6.2123605
RINGSEND,53.34194399999999,-6.226389
RINGSEND,53.34194399999999,-6.226389
RINGSEND,53.34194399999999,-6.226389
STANNAWAY,53.3206866,-6.3006892
STREAMVILLE,53.2475659,-6.1202157999999995
SUNDRIVE,53.3210024,-6.2913037
TOLKA VALLEY,53.3803639,-6.2874608
WALKINSTOWN,53.32161329999999,-6.330117700000001
BENMADIGAN,53.3330162,-6.316520099999999
BRICKFIELDS,53.3320387,-6.3033135
POPPINTREE,53.4054312,-6.2871818
POPPINTREE NORTH,53.4023441,-6.2871246
PEARSE PARK,53.2748878,-6.1425269
ST ANNES,53.32877190000001,-6.2544648
KILDONAN,53.404096200000005,-6.3193022
DONNYCARNEY,53.3746929,-6.219742299999999
EDENMORE,53.386264000000004,-6.187380200000001
LEIN ROAD,53.382990799999995,-6.1889192
MC AULEY,53.333059999999996,-6.24889
SPRINGDALE,54.5064698,-6.780112400000001
FR. COLLINS,53.333059999999996,-6.24889
STANNAWAY,53.3206866,-6.3006892
WALKINSTOWN,53.32161329999999,-6.330117700000001
BELCAMP,53.4068274,-6.1969262
ST. ANNES,53.32877190000001,-6.2544648
ALBERT COLLEGE,53.3854709,-6.2608090999999995
ALBERT COLLEGE,53.3854709,-6.2608090999999995
BALCURRIS PARK,53.404240599999994,-6.272635500000001
BUSHY,53.3021198,-6.2914461
BUSHY,53.3021198,-6.2914461
BUSHY,53.3021198,-6.2914461
DONAGHMEDE,53.39486120000001,-6.1635775
DONNYCARNEY,53.3746929,-6.219742299999999
ELLENFIELD,53.3857502,-6.2404419
FAIRVIEW,53.36284570000001,-6.2366557
FAIRVIEW,53.36284570000001,-6.2366557
FAIRVIEW,53.36284570000001,-6.2366557
FARNHAM,53.385891,-6.3003761
FR. COLLINS,53.333059999999996,-6.24889
GALTYMORE,53.335017500000006,-6.3151521
JOHN PAUL,53.363125600000004,-6.236186099999999
JOHNSTOWN,53.41222729999999,-6.320695300000001
MARTIN SAVAGE,53.3719591,-6.3322962
MILLBROOK,53.3190581,-6.2353914
PEARSE PARK,53.2748878,-6.1425269
PEARSE PARK,53.2748878,-6.1425269
POPPINTREE,53.4054312,-6.2871818
POPPINTREE,53.4054312,-6.2871818
RINGSEND,53.34194399999999,-6.226389
SEAN MOORE,53.33921070000001,-6.2164504
SPRINGDALE,54.5064698,-6.780112400000001
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST  ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
THE RANCH,53.3434782,-6.3291653
WALKINSTOWN,53.32161329999999,-6.330117700000001
ST. ANNES,53.32877190000001,-6.2544648
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
DARTRY,53.309956400000004,-6.2631069
FARNHAM,53.385891,-6.3003761
JOHN PAUL,53.363125600000004,-6.236186099999999
LE FANU,53.33581850000001,-6.3541441
RINGSEND,53.34194399999999,-6.226389
STANNAWAY,53.3206866,-6.3006892
STANNAWAY,53.3206866,-6.3006892
STANNAWAY,53.3206866,-6.3006892
WALKINSTOWN,53.32161329999999,-6.330117700000001
DOLPHIN,54.85697879999999,-6.2698595
BEECHILL,54.551865299999996,-5.9180207000000005
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
BUNTING ROAD,53.32018879999999,-6.3260332
BUSHY,53.3021198,-6.2914461
BUSHY,53.3021198,-6.2914461
BUSHY,53.3021198,-6.2914461
DARTRY,53.309956400000004,-6.2631069
HERBERT,53.327686899999996,-6.2365699999999995
IRISHTOWN,53.53249449999999,-6.226157
ST ANNES,53.32877190000001,-6.2544648
ST ANNES,53.32877190000001,-6.2544648
STANNAWAY,53.3206866,-6.3006892
STANNAWAY,53.3206866,-6.3006892
STANNAWAY,53.3206866,-6.3006892
WALKINSTOWN,53.32161329999999,-6.330117700000001
DUNDANIEL,53.394585,-6.225759
OSCAR TRAYNOR,53.3944328,-6.2123605
ALBERT COLLEGE,53.3854709,-6.2608090999999995
ARDMORE,54.95577610000001,-7.280734900000001
ASHINGTON,53.372544999999995,-6.3162244
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
CLONTURK,53.381717,-6.245751599999999
DARNDALE,53.4009603,-6.1940318
FAIRVIEW,53.36284570000001,-6.2366557
FAIRVIEW,53.36284570000001,-6.2366557
GLIN ROAD,53.399516500000004,-6.2056252
GLIN ROAD,53.399516500000004,-6.2056252
JOHN PAUL,53.363125600000004,-6.236186099999999
MARINO,53.37048000000001,-6.2314905
MELLOWES,53.3900796,-6.3118302
NORTHWAY,54.425755599999995,-6.4432197
OSCAR TRAYNOR,53.3944328,-6.2123605
ROCKFIELD,53.2942877,-6.1728171
ST ANNES,53.32877190000001,-6.2544648
POPPINTREE,53.4054312,-6.2871818
GREENDALE,53.386065,-6.1504701
ROSEGLEN,53.38554820000001,-6.1608457
EDENMORE,53.386264000000004,-6.187380200000001
WOODBINE AVE,53.309439000000005,-6.2107616
ST ANNES,53.32877190000001,-6.2544648
FR. COLLINS,53.333059999999996,-6.24889
ST ANNES,53.32877190000001,-6.2544648
BALCURRIS PARK,53.404240599999994,-6.272635500000001
DARTRY,53.309956400000004,-6.2631069
HERBERT,53.327686899999996,-6.2365699999999995
HERBERT,53.327686899999996,-6.2365699999999995
LE FANU,53.33581850000001,-6.3541441
STANNAWAY,53.3206866,-6.3006892
CHERRY ORCHARD,53.3299858,-6.276184400000001
BEECHILL,54.551865299999996,-5.9180207000000005
HERBERT,53.327686899999996,-6.2365699999999995
