Location,X,Y
ALBERT COLLEGE,53.3854709,-6.2608091
ALBERT COLLEGE,53.3854709,-6.2608091
BEECHILL,54.5518653,-5.9180207
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
BELCAMP,53.4068274,-6.1969262
DARNDALE,53.4009603,-6.1940318
DONAGHMEDE,53.3948612,-6.1635775
JOHN PAUL,53.3631256,-6.2361861
KILMORE,54.4097868,-6.6720416
KILMORE,54.4097868,-6.6720416
MARKIEVICZ,53.3410089,-6.3400557
MOUNT OLIVE,53.33306,-6.24889
OSCAR TRAYNOR,53.3944328,-6.2123605
RINGSEND,53.341944,-6.226389
RINGSEND,53.341944,-6.226389
ST ANNES,53.3287719,-6.2544648
ST ANNES,53.3287719,-6.2544648
ST ANNES,53.3287719,-6.2544648
ST ANNES,53.3287719,-6.2544648
ST ANNES,53.3287719,-6.2544648
ST ANNES,53.3287719,-6.2544648
ST ANNES,53.3287719,-6.2544648
ST ANNES,53.3287719,-6.2544648
ST ANNES,53.3287719,-6.2544648
WALKINSTOWN,53.3216133,-6.3301177
FR. COLLINS,53.33306,-6.24889
MILLBROOK,53.3190581,-6.2353914
ALBERT COLLEGE,53.3854709,-6.2608091
ALFIE BYRNE,53.361111,-6.2279928
COULTRY,53.4223167,-6.2630485
DARNDALE,53.4009603,-6.1940318
DONAGHMEDE,53.3948612,-6.1635775
FARNHAM,53.385891,-6.3003761
IRISHTOWN,53.5324945,-6.226157
JOHN PAUL,53.3631256,-6.2361861
JOHNSTOWN,53.4122273,-6.3206953
KILDONAN,53.4040962,-6.3193022
LE FANU,53.3358185,-6.3541441
LE FANU,53.3358185,-6.3541441
LE FANU,53.3358185,-6.3541441
LE FANU,53.3358185,-6.3541441
LE FANU,53.3358185,-6.3541441
LEIN ROAD,53.3829908,-6.1889192
MARKIEVICZ,53.3410089,-6.3400557
MELLOWES,53.3900796,-6.3118302
MELLOWES,53.3900796,-6.3118302
MILLBROOK,53.3190581,-6.2353914
OSCAR TRAYNOR,53.3944328,-6.2123605
PLUNKETT AVENUE,53.3981308,-6.3120612
POPPINTREE,53.4054312,-6.2871818
POPPINTREE,53.4054312,-6.2871818
RINGSEND,53.341944,-6.226389
RINGSEND,53.341944,-6.226389
ST ANNES,53.3287719,-6.2544648
ST ANNES,53.3287719,-6.2544648
ST ANNES,53.3287719,-6.2544648
ST ANNES,53.3287719,-6.2544648
WALKINSTOWN,53.3216133,-6.3301177
COULTRY,53.4223167,-6.2630485
NAUL,53.5850302,-6.2888697
JOHNSTOWN,53.4122273,-6.3206953
ALFIE BYRNE,53.361111,-6.2279928
FAIRVIEW,53.3628457,-6.2366557
JOHN PAUL,53.3631256,-6.2361861
MC AULEY,53.33306,-6.24889
ALBERT COLLEGE,53.3854709,-6.2608091
ALBERT COLLEGE,53.3854709,-6.2608091
ALBERT COLLEGE,53.3854709,-6.2608091
BRICKFIELDS,53.3320387,-6.3033135
BRICKFIELDS,53.3320387,-6.3033135
BUNTING ROAD,53.3201888,-6.3260332
BUSHY,53.3021198,-6.2914461
BUSHY,53.3021198,-6.2914461
